,T_obs,p_true,p_perm,q_perm_BH,q_perm_Lee
g__Lachnospiraceae_ND3007_group;,-0.314734618590049,0.7531144122449491,0.7602397602397603,0.9154839154839155,1.0
g__Lachnospiraceae_NK4A136_group;,2.5820818221550192,0.01014734097354224,0.013986013986013986,0.31626268468373736,0.98
g__Lachnospiraceae_NK4B4_group;,0.75878033715585,0.4483958482215502,0.4435564435564436,0.8407198182982936,1.0
g__Lachnospiraceae_UCG-001;,1.340598696895486,0.18075207280208144,0.16683316683316685,0.7117031904265947,1.0
g__Lachnospiraceae_UCG-003;,-0.656372493363964,0.5119323353776688,0.5244755244755245,0.8763111888111887,1.0
g__Lachnospiraceae_UCG-004;,1.0549937216425929,0.292015139324949,0.3016983016983017,0.8222829801777171,1.0
g__Lachnospiraceae_UCG-008;,-0.7348261799935402,0.46284222060796987,0.4675324675324675,0.8407198182982936,1.0
g__Lachnospiraceae_UCG-010;,1.7845193462174012,0.07503773361105795,0.0919080919080919,0.6008991008991009,1.0
g__Lactobacillus;,-1.3913610414894269,0.16482874852385168,0.1888111888111888,0.7434547434547434,1.0
g__Lactococcus;,0.7971453151563842,0.42580252248339834,0.45054945054945056,0.8407198182982936,1.0
g__Libanicoccus;,-0.7989599008823322,0.42475067724275795,0.4125874125874126,0.8407198182982936,1.0
g__Marvinbryantia;,-0.12075119923698956,0.9039439869929187,0.9090909090909091,0.9568122166547363,1.0
g__Megamonas;,-0.47612561666848285,0.6342244790161056,0.6193806193806194,0.8924385223317608,1.0
g__Megasphaera;,-1.9567819141476217,0.051013891396155024,0.05194805194805195,0.48444578677136824,1.0
g__Merdibacter;,1.0801243382363073,0.2806866834960119,0.2867132867132867,0.8212287712287712,1.0
g__Methanobrevibacter;,-0.41373706169719493,0.6792710541296578,0.6883116883116883,0.9128810583356037,1.0
g__Methanosphaera;,0.04244790499702822,0.9661611615004432,0.971028971028971,0.9808126382433687,1.0
g__Mitsuokella;,-0.7512066080317125,0.4529354546340949,0.4645354645354645,0.8407198182982936,1.0
