,T_obs,p_true,p_perm,q_perm_BH,q_perm_Lee
d6d70ee8797863743fabbeb5a35dd21d,2.4437779907023685,0.014931663028424655,0.01098901098901099,0.423953823953824,1.0
af2150fef76b295092cd60a788cbe500,-0.11847101084136907,0.9057492759999252,0.9110889110889111,0.9957093903878826,1.0
0700b7f158c822737fdab28f9a1e4b53,2.652796368248892,0.00827553319007959,0.007992007992007992,0.40483654276757725,1.0
2eedf896e95f02090d22dd3e68742ce7,-0.351912269452606,0.7250748620264217,0.7092907092907093,0.964119654595845,1.0
be1fe9bfe424ad27f568d8e2d7b42c19,0.9073528985660976,0.3647237257385264,0.4025974025974026,0.8736838125484414,1.0
478739167292e4f93f1eb7aceb2e3e81,-0.07377846464870191,0.9412206544799295,0.9370629370629371,0.9980853638711775,1.0
df8f768b0e149cc5c7a6f5cf15cd6fa8,-0.9319891894566391,0.35186027426907773,0.3696303696303696,0.8612279739040304,1.0
47d74904a190fe918c6eea86295320d2,1.4766457473817716,0.14049583010913666,0.15484515484515485,0.6977531670783205,1.0
fb7a1c0b3625f00ee42dbfcbaa001f12,0.880635336221618,0.37900262269061036,0.34865134865134867,0.8423829460013671,1.0
1f0481c4fc1ddc5a118dd691b40a1670,0.4785615596807655,0.632491563286396,0.6123876123876124,0.9520337530489815,1.0
4b9aa83dd2faf0fde6d55a983598efad,0.16694013279598974,0.8674949063975608,0.8731268731268731,0.9892842134752767,1.0
927948a3ccf40d7671afc0d5334d3eb6,-1.0091367806666545,0.31347132122150945,0.28471528471528473,0.8192140576613773,1.0
f1681bcc5274382eaf70ad85491c837e,-0.532353630335412,0.5947535232994272,0.5694305694305695,0.9364099152517862,1.0
47f3d645d96038371757074de1d8fb8d,-0.6722335928012132,0.5017927105647728,0.5144855144855145,0.9230100799443867,1.0
38b7580c13cf081c9f279006c2dc70b9,-1.0171562828311507,0.30964577637649227,0.2987012987012987,0.8192140576613773,1.0
d4b9487f80a46f105daa14816456c5f6,1.340184831068759,0.18088644830076303,0.16783216783216784,0.707342518976868,1.0
c6da490b249d5d89af322503daac81d9,0.5208719110677691,0.6027216480056411,0.5884115884115884,0.9498644212929926,1.0
6aecdefb54ce134bd38af02b1c7e7187,0.7458844200355834,0.4561410312341575,0.47352647352647353,0.9164827267594066,1.0
d3864fc0d139ae33e32888b486ee19cb,0.4212463989560352,0.673783706881883,0.6703296703296703,0.9599128486970144,1.0
c5be3cbb0c4c3ad43d1c9902233d0993,-0.22084500369557658,0.8253169783512906,0.8451548451548452,0.9833741633268074,1.0
93b58b0ba0d326e9c8d1a81f8672c16a,1.2480196843926226,0.21269674781369646,0.2097902097902098,0.7535007779506556,1.0
09ad3f07c79e7bbc78206689dc55492d,-1.1178454694973405,0.2642513917314901,0.25374625374625376,0.8120985768044592,1.0
60bed339f40d58c6de65c2b894d2132e,3.279559676175197,0.0011234441295262876,0.000999000999000999,0.18344155844155846,0.891
9cdb9dbe98d86651359273ea1c595c84,3.862905718155773,0.00012913290971814872,0.001998001998001998,0.18344155844155846,0.653
463ccc4044935acfa08235ade550557e,0.7415748416878114,0.4587460625622467,0.4595404595404595,0.9061274296173626,1.0
ed7747f5b0284274c95a92cc42e8657d,1.0884976751832687,0.2769795364463991,0.29270729270729273,0.8192140576613773,1.0
eb4c910863320282fd9d8c743730532a,-0.5244755747008135,0.6002155733668465,0.5994005994005994,0.9520337530489815,1.0
a00b4fdac316fe32b233507d015a5712,0.429418441231373,0.6678318347229285,0.7212787212787213,0.964119654595845,1.0
365d40757b7a146d54fb57f51f28657c,0.21150493315906785,0.8325925657935294,0.8401598401598401,0.9833741633268074,1.0
f7035cbf3dd378172a24fb9ce26588b3,1.3913023770584019,0.1648465181610166,0.16683316683316685,0.707342518976868,1.0
f00e27c6aadae91c727863f9902e95b2,-0.64599571915489,0.5186235468625235,0.5404595404595405,0.9272214429008854,1.0
e5225d9ad60cd54861511a228f4809fd,-1.4132263776802467,0.1583059661371023,0.13886113886113885,0.6964560862865948,1.0
51f7c8ee44363f94d016d6907b20aced,-1.4673569234081163,0.14300326485517814,0.15084915084915085,0.6977531670783205,1.0
1f2dda5d2f361fc8d646e55a515ae1e4,1.3640795705030053,0.17324949955388774,0.1878121878121878,0.7298838727410156,1.0
494e65560668c776b1b9e745b349c50d,1.8010686589709983,0.07238609067164316,0.06293706293706294,0.590704892591685,1.0
a1b6935c2608151d83edd47c8a72c1a6,0.21871630767616454,0.826973857753935,0.8301698301698301,0.9830473283710693,1.0
ad52bbef279fc1fe7a3ca1c4b1fb9710,-1.1300917698731063,0.25906172400798644,0.2817182817182817,0.8192140576613773,1.0
f684347f6c1a5dcf941c4c17be9dfb8d,-1.4469865682339071,0.14862256075268787,0.13686313686313686,0.6959432320257063,1.0
77087c966bd1f46d43d2c4913475bc98,2.341178400860701,0.019674712953898128,0.022977022977022976,0.4753978415950247,1.0
5287d8ae64d1e964b0bb7c203d98e154,0.054313056355986114,0.9567107398167327,0.9600399600399601,0.9980853638711775,1.0
