"","Kingdom","Phylum","Class","Order","Family","Rank6","Rank7","Genus","Species","Rank5","Rank3","Rank4","Rank2"
"4445692","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae",NA,NA,NA,NA,NA,NA,NA,NA
"239739","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae",NA,NA,NA,NA,NA,NA,NA,NA
"849440","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4337664","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae",NA,NA,NA,NA,NA,NA,NA,NA
"4359590","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae",NA,NA,NA,NA,NA,NA,NA,NA
"684858","Bacteria","Proteobacteria","Betaproteobacteria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4428714","Bacteria","Tenericutes","Mollicutes","RF39",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4345361","Bacteria","Acidobacteria","Sva0725","Sva0725",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4410295","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae",NA,NA,NA,NA,NA,NA,NA,NA
"946344","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae",NA,NA,NA,NA,NA,NA,NA,NA
"3893865","Bacteria","Proteobacteria","Betaproteobacteria","SBla14",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4154872","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","[Weeksellaceae]",NA,NA,NA,NA,NA,NA,NA,NA
"252667","Bacteria","Gemmatimonadetes","Gemm-5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41476","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Alcanivoracaceae",NA,NA,NA,NA,NA,NA,NA,NA
"115315","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Yaniellaceae",NA,NA,NA,NA,NA,NA,NA,NA
